ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
16251,Avengers: Age of Ultron,2015,13+,7.3,75%,141
16252,Mary Poppins,1964,all,7.8,100%,139
16253,Finding Dory,2016,7+,7.3,94%,97
16254,Who Framed Roger Rabbit,1988,7+,7.7,97%,104
16255,Mulan,1998,all,7.6,86%,115
16256,Iron Man 3,2013,13+,7.2,79%,130
16257,The Sound of Music,1965,all,8,83%,172
16258,Ice Age,2002,7+,7.5,77%,81
16259,Cars,2006,all,7.1,75%,117
16260,Snow White and the Seven Dwarfs,1937,all,7.6,98%,83
16261,Monsters University,2013,all,7.3,80%,104
16262,Frozen II,2019,7+,6.9,77%,103
16263,Togo,2019,7+,8.1,91%,113
16264,A Bug's Life,1998,all,7.2,92%,95
16265,The Jungle Book,1967,all,7.6,87%,106
16266,Remember the Titans,2000,7+,7.8,73%,113
16267,Brave,2012,7+,7.1,78%,93
16268,The Simpsons Movie,2007,13+,7.3,88%,87
16269,Fantasia,1940,all,7.8,94%,125
16270,The Emperor's New Groove,2000,all,7.3,85%,78
16271,The Straight Story,1999,all,8,95%,112
16272,One Hundred and One Dalmatians,1961,all,7.2,98%,79
16273,Lady and the Tramp,1955,all,7.3,93%,103
16274,Pinocchio,1940,all,7.4,100%,120
16275,Thor: The Dark World,2013,13+,6.9,66%,112
16276,Star Wars: The Last Jedi,2017,13+,7,90%,152
16277,Lilo & Stitch,2002,7+,7.2,86%,85
16278,Star Wars: The Rise of Skywalker,2019,13+,6.7,52%,142
16279,Pirates of the Caribbean: Dead Man's Chest,2006,13+,7.3,53%,151
16280,Bambi,1942,all,7.3,90%,70
16281,Captain Marvel,2019,13+,6.9,78%,123
16282,Alice in Wonderland,1951,all,7.4,81%,108
16283,Peter Pan,1953,all,7.3,80%,113
16284,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,7+,6.9,76%,143
16285,Miracle on 34th Street,1947,all,7.9,96%,96
16286,Pirates of the Caribbean: At World's End,2007,13+,7.1,44%,169
16287,The Many Adventures of Winnie the Pooh,1977,all,7.6,100%,74
16288,Star Wars: Episode II - Attack of the Clones,2002,7+,6.5,65%,142
16289,The Muppet Movie,1979,all,7.6,88%,95
16290,Mickey's Christmas Carol,1983,all,8,100%,26
16291,Star Wars: Episode I - The Phantom Menace,1999,7+,6.5,53%,136
16292,Cool Runnings,1993,7+,7,76%,98
16293,The Parent Trap,1998,7+,6.5,86%,128
16294,The Muppet Christmas Carol,1992,all,7.7,75%,85
16295,Treasure Planet,2002,7+,7.2,69%,95
16296,The Fox and the Hound,1981,all,7.3,70%,83
16297,Holes,2003,7+,7,78%,117
16298,Pete's Dragon,2016,7+,6.7,88%,102
16299,The Good Dinosaur,2015,7+,6.7,76%,93
16300,Frankenweenie,2012,7+,6.9,87%,87
16301,Tron,1982,7+,6.8,74%,125
16302,Winnie the Pooh,2011,all,7.2,91%,104
16303,TRON: Legacy,2010,7+,6.8,51%,125
16304,The Sword in the Stone,1963,all,7.2,67%,79
16305,The Aristocats,1970,all,7.1,66%,78
16306,Cars 3,2017,all,6.7,70%,102
16307,Queen of Katwe,2016,7+,7.4,93%,124
16308,Homeward Bound: The Incredible Journey,1993,all,6.9,87%,84
16309,Maleficent: Mistress of Evil,2019,7+,6.6,40%,119
16310,Before the Flood,2016,7+,8.3,74%,96
16311,The Chronicles of Narnia: Prince Caspian,2008,7+,6.5,66%,150
16312,The Great Mouse Detective,1986,all,7.2,79%,74
16313,Flight of the Navigator,1986,7+,6.9,83%,90
16314,James and the Giant Peach,1996,7+,6.7,91%,79
16315,Willow,1988,7+,7.3,50%,126
16316,Meet the Robinsons,2007,all,6.8,67%,95
16317,Star Wars: Episode III - Revenge of the Sith,2005,13+,7.5,,140
16318,Fantasia 2000,1999,all,7.2,81%,75
16319,Tinker Bell,2008,all,6.8,100%,78
16320,The Rescuers,1977,all,6.9,80%,78
16321,Eight Below,2006,7+,7.3,72%,120
16322,Invincible,2006,7+,7.1,72%,137
16323,Sister Act,1992,7+,6.4,73%,100
16324,John Carter,2012,13+,6.6,52%,132
16325,Freaky Friday,2003,7+,6.1,88%,97
16326,The Santa Clause,1994,7+,6.5,71%,97
16327,Descendants,2015,all,6.4,90%,112
16328,Old Yeller,1957,all,7.3,100%,83
16329,"Honey, I Shrunk the Kids",1989,7+,6.3,75%,93
16330,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,all,7.4,100%,78
16331,Pirates of the Caribbean: On Stranger Tides,2011,13+,6.6,33%,137
16332,The BFG,2016,7+,6.4,75%,117
16333,The Princess Diaries,2001,all,6.3,48%,111
16334,National Treasure: Book of Secrets,2007,7+,6.5,36%,124
16335,The Finest Hours,2016,13+,6.8,64%,117
16336,DuckTales: The Movie - Treasure of the Lost Lamp,1990,all,6.9,88%,74
16337,A Goofy Movie,1995,all,6.8,59%,78
16338,The Greatest Game Ever Played,2005,7+,7.4,63%,120
16339,The Lion King 1½,2004,all,6.5,78%,77
16340,The Lion King II: Simba's Pride,1998,all,6.5,62%,81
16341,The Adventures of Ichabod and Mr. Toad,1949,7+,7,93%,68
16342,Tinker Bell and the Lost Treasure,2009,all,6.7,100%,81
16343,Bedknobs and Broomsticks,1971,all,7.1,65%,117
16344,Hocus Pocus,1993,7+,6.9,34%,96
16345,Secretariat,2010,7+,7.2,63%,123
16346,Darby O'Gill and the Little People,1959,all,7.2,100%,93
16347,Muppet Treasure Island,1996,all,7,73%,99
16348,The Rescuers Down Under,1990,all,6.9,69%,77
16349,The Rocketeer,1991,7+,6.5,65%,108
16350,High School Musical,2006,all,5.4,63%,98
16351,Atlantis: The Lost Empire,2001,7+,6.9,49%,95
16352,The Great Muppet Caper,1981,all,7.2,76%,97
16353,Teen Beach Movie,2013,7+,5.9,86%,110
16354,Journey to the Center of the Earth,1959,all,7,86%,93
16355,Pollyanna,1960,all,7.4,86%,134
16356,High School Musical 2,2007,all,5,82%,104
16357,Halloweentown,1998,all,6.8,80%,84
16358,Brother Bear,2003,all,6.8,37%,85
16359,Millions,2004,13+,6.9,88%,98
16360,Muppets Most Wanted,2014,7+,6.4,80%,107
16361,The Journey of Natty Gann,1985,7+,7.1,100%,101
16362,Secret of the Wings,2012,all,7.1,60%,75
16363,Cars 2,2011,all,6.1,39%,106
16364,Tinker Bell and the Great Fairy Rescue,2010,all,6.9,78%,76
16365,Descendants 2,2017,all,6.5,67%,111
16366,Adventures in Babysitting,2016,all,6,100%,102
16367,Dinosaur,2000,7+,6.5,64%,82
16368,Dumbo,2019,7+,6.3,47%,112
16369,The Color of Friendship,2000,7+,7.2,100%,87
16370,Oliver & Company,1988,all,6.7,51%,74
16371,Monkey Kingdom,2015,all,7.3,93%,81
16372,"Davy Crockett, King of the Wild Frontier",1955,all,7,100%,93
16373,The Three Caballeros,1944,all,6.5,82%,104
16374,That Darn Cat!,1965,all,6.8,94%,116
16375,African Cats,2011,all,7.6,73%,89
16376,Newsies,1992,7+,7,39%,121
16377,3 Men and a Baby,1987,7+,6,75%,102
16378,Tuck Everlasting,2002,7+,6.6,60%,90
16379,The Incredible Journey,1963,all,7.1,89%,80
16380,The Love Bug,1968,all,6.5,76%,108
16381,High School Musical 3: Senior Year,2008,all,4.8,64%,112
16382,Return to Oz,1985,7+,6.7,52%,113
16383,Blackbeard's Ghost,1968,all,6.9,82%,106
16384,Chimpanzee,2012,all,7.2,76%,78
16385,The Absent-Minded Professor,1961,all,6.8,83%,92
16386,Camp Rock,2008,all,5.2,45%,94
16387,Penguins,2019,all,7,92%,76
16388,Pooh's Heffalump Movie,2005,all,6.4,80%,68
16389,Turner & Hooch,1989,7+,6.2,52%,97
16390,Glory Road,2006,7+,7.2,,118
16391,Princess Protection Program,2009,all,5.6,60%,90
16392,Science Fair,2018,7+,7.4,97%,90
16393,Greyfriars Bobby: The True Story of a Dog,1961,,7.3,100%,87
16394,Diary of a Wimpy Kid,2010,7+,6.2,53%,120
16395,The Odd Life of Timothy Green,2012,7+,6.6,35%,105
16396,Splash,1984,7+,6.2,90%,111
16397,The Princess Diaries 2: Royal Engagement,2004,all,5.8,26%,113
16398,The Black Cauldron,1985,7+,6.4,55%,80
16399,The Game Plan,2007,7+,6.1,28%,110
16400,Cinderella III: A Twist in Time,2007,all,5.9,75%,74
16401,Waking Sleeping Beauty,2009,7+,7.6,71%,86
16402,The Tigger Movie,2000,all,6.3,62%,77
16403,Escape to Witch Mountain,1975,all,6.4,76%,97
16404,Timmy Failure: Mistakes Were Made,2020,7+,6.1,88%,99
16405,101 Dalmatians,1996,all,5.7,42%,103
16406,The Last Song,2010,7+,6,21%,107
16407,George of the Jungle,1997,7+,5.5,57%,92
16408,Frank and Ollie,1995,7+,7.8,88%,89
16409,The Santa Clause 2,2002,all,5.6,56%,104
16410,Heavyweights,1995,7+,6.6,29%,100
16411,Ice Princess,2005,all,6,52%,98
16412,Bedtime Stories,2008,7+,6,26%,99
16413,Cheaper by the Dozen,2003,7+,5.9,24%,98
16414,An Extremely Goofy Movie,2000,all,6.4,63%,79
16415,Twitches,2005,7+,5.7,60%,86
16416,Iron Will,1994,7+,6.6,62%,108
16417,Aladdin and the King of Thieves,1996,all,6.4,33%,81
16418,Piglet's Big Movie,2003,all,6.1,70%,75
16419,Because of Winn-Dixie,2005,7+,6.3,55%,106
16420,Fun and Fancy Free,1947,all,6.6,67%,73
16421,Mickey's Once Upon a Christmas,1999,all,7.2,40%,66
16422,Deep Blue,2003,all,7.4,67%,105
16423,Red Tails,2012,13+,5.9,40%,125
16424,Lilo & Stitch 2: Stitch Has a Glitch,2005,7+,6.3,40%,68
16425,Ruby Bridges,1998,7+,7.2,83%,96
16426,Doctor Dolittle,1998,13+,5.4,42%,85
16427,Brother Bear 2,2006,7+,6.2,50%,74
16428,Camp Rock 2: The Final Jam,2010,7+,5.2,63%,97
16429,Recess: School's Out,2001,all,6.6,60%,82
16430,The Adventures of Huck Finn,1993,7+,6.2,73%,108
16431,Lemonade Mouth,2011,7+,6.9,,103
16432,The Crimson Wing: Mystery of the Flamingos,2008,all,7.3,75%,78
16433,Big Business,1988,7+,6.4,44%,97
16434,Melody Time,1948,,6.4,80%,75
16435,Bambi II,2006,all,6.1,50%,75
16436,The Cheetah Girls,2003,all,4.8,71%,100
16437,Hannah Montana: The Movie,2009,all,4.5,44%,102
16438,Herbie Rides Again,1974,all,5.7,80%,88
16439,Descendants 3,2019,all,6.7,78%,106
16440,Olaf's Frozen Adventure,2017,all,5.5,57%,22
16441,The Apple Dumpling Gang,1975,all,6.5,56%,100
16442,Newsies: The Broadway Musical,2017,13+,8.5,,149
16443,101 Dalmatians II: Patch's London Adventure,2003,all,5.8,67%,74
16444,Saludos Amigos,1942,,6.2,83%,42
16445,Mighty Joe Young,1998,7+,5.6,55%,114
16446,Thumbelina,1994,all,6.3,30%,86
16447,The Lizzie McGuire Movie,2003,7+,5.5,41%,94
16448,The Cat from Outer Space,1978,all,6.1,67%,104
16449,Rookie of the Year,1993,7+,6,35%,103
16450,Sister Act 2: Back in the Habit,1993,7+,5.6,7%,107
16451,Homeward Bound II: Lost in San Francisco,1996,all,5.9,53%,88
16452,Jump In!,2007,all,5.3,63%,85
16453,Roving Mars,2006,7+,7.2,70%,40
16454,The Black Hole,1979,7+,6,40%,98
16455,Lady and the Tramp II: Scamp's Adventure,2001,all,5.9,45%,69
16456,Around the World in 80 Days,2004,7+,5.9,32%,120
16457,Luxo Jr.,1986,all,7.3,,2
16458,Flubber,1997,7+,5.3,24%,93
16459,The Return of Jafar,1994,all,5.9,33%,69
16460,Aliens of the Deep,2005,all,6.4,84%,100
16461,"Mickey, Donald, Goofy: The Three Musketeers",2004,all,6.4,36%,68
16462,The Little Mermaid: Ariel's Beginning,2008,7+,6.3,33%,77
16463,The Cheetah Girls 2: When in Spain,2006,all,5,43%,96
16464,Pooh's Grand Adventure: The Search for Christopher Robin,1997,all,7.1,33%,76
16465,Jack,1996,13+,5.8,18%,122
16466,Stargirl,2020,7+,6.2,71%,45
16467,Return to Never Land,2002,all,5.8,45%,72
16468,The Shaggy Dog,1959,all,6.5,68%,104
16469,Herbie Goes to Monte Carlo,1977,all,5.7,60%,105
16470,Home on the Range,2004,7+,5.3,53%,76
16471,The Little Mermaid II: Return to the Sea,2000,7+,5.6,33%,75
16472,The Cheetah Girls: One World,2008,all,4.7,67%,90
16473,Leroy & Stitch,2006,all,6.2,40%,73
16474,Herbie Fully Loaded,2005,all,4.8,41%,101
16475,Let It Shine,2012,all,6.4,,104
16476,Wizards of Waverly Place: The Movie,2009,7+,6.2,,94
16477,A Wrinkle in Time,2018,7+,4.2,42%,109
16478,Benji the Hunted,1987,all,6.3,50%,88
16479,Recess: Taking the Fifth Grade,2003,all,6.8,67%,62
16480,The Even Stevens Movie,2003,all,6.2,40%,93
16481,Marvel Rising: Secret Warriors,2018,,5.2,100%,80
16482,Mars Needs Moms,2011,7+,5.4,37%,88
16483,Sharpay's Fabulous Adventure,2011,all,4.7,60%,90
16484,The Wizards Return: Alex vs. Alex,2013,7+,6.4,,60
16485,Home Alone 3,1997,7+,4.5,29%,102
16486,3 Men and a Little Lady,1990,7+,5.4,38%,104
16487,Beauty and the Beast: The Enchanted Christmas,1997,all,6.1,13%,72
16488,Annie,1999,all,6.7,,126
16489,Tiger Cruise,2005,7+,6.2,60%,88
16490,Stitch! The Movie,2003,all,6.2,20%,60
16491,Babes in Toyland,1961,all,6.3,36%,106
16492,Brink!,1998,all,7.1,,99
16493,Tall Tale,1995,7+,5.9,50%,96
16494,"Good Luck Charlie, It's Christmas!",2011,all,6.4,,90
16495,G-Force,2009,7+,5.1,22%,88
16496,Cloud 9,2014,all,6.6,,85
16497,Geek Charming,2011,7+,6.4,,94
16498,Snow Dogs,2002,7+,5.2,25%,99
16499,Mulan II,2004,all,5.7,,79
16500,Dr. Dolittle 2,2001,7+,4.7,42%,87
16501,Kim Possible Movie: So the Drama,2005,all,7.1,,71
16502,Camp Nowhere,1994,7+,6.1,18%,96
16503,Honey I Blew Up the Kid,1992,7+,4.8,40%,89
16504,Steamboat Willie,1928,,7.6,,8
16505,Motocrossed,2001,all,6.6,,110
16506,One Magic Christmas,1985,all,6.5,47%,89
16507,The Computer Wore Tennis Shoes,1969,all,6.1,50%,91
16508,Halloweentown II: Kalabar's Revenge,2001,all,6.5,,81
16509,102 Dalmatians,2000,all,4.9,31%,100
16510,The Santa Clause 3: The Escape Clause,2006,all,4.7,17%,97
16511,Teen Beach 2,2015,all,6.1,,104
16512,Return from Witch Mountain,1978,all,5.9,50%,95
16513,Kitbull,2019,7+,8,,9
16514,Tru Confessions,2002,all,7.5,,112
16515,Treasure Island,1950,7+,6.9,,96
16516,Prom,2011,7+,5.4,36%,104
16517,Mickey's Twice Upon a Christmas,2004,all,6.5,,68
16518,Zenon: Girl of the 21st Century,1999,all,6.4,,97
16519,The Wild,2006,all,5.3,19%,117
16520,Halloweentown High,2004,all,6.2,,82
16521,Valiant,2005,all,5.5,32%,76
16522,Candleshoe,1977,7+,6.8,,101
16523,The Haunted Mansion,2003,7+,5,14%,99
16524,Twitches Too,2007,7+,5.8,,83
16525,Jungle 2 Jungle,1997,7+,5.2,19%,105
16526,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008,all,2.4,73%,74
16527,The Ugly Dachshund,1966,all,6.7,,93
16528,Kronk's New Groove,2005,all,5.8,,75
16529,Marvel Studios: Assembling a Universe,2014,7+,7.6,,43
16530,Smart House,1999,all,6.3,,82
16531,Cadet Kelly,2002,all,5.5,,101
16532,Z-O-M-B-I-E-S,2018,all,6.3,,94
16533,Tom and Huck,1995,7+,5.5,25%,97
16534,Young Black Stallion,2003,all,5.6,45%,50
16535,Tangled: Before Ever After,2017,all,6.6,,21
16536,The Reluctant Dragon,1941,all,6.9,,74
16537,Pocahontas II: Journey to a New World,1998,all,4.9,29%,72
16538,Cheetah,1989,all,6,50%,83
16539,Avalon High,2011,all,5.7,,90
16540,The Fox and the Hound 2,2006,all,5.3,20%,69
16541,"Honey, We Shrunk Ourselves",1997,7+,5,25%,74
16542,How to Build a Better Boy,2014,all,5.5,,90
16543,The Jungle Book 2,2003,all,5.4,19%,72
16544,The Luck of the Irish,2001,all,6.2,,86
16545,Tin Toy,1988,all,6.5,,5
16546,Return to Halloweentown,2006,all,5.6,,88
16547,Winnie the Pooh: A Very Merry Pooh Year,2002,all,6.8,,65
16548,Johnny Tsunami,1999,all,6.3,,88
16549,The Disney Family Singalong,2020,all,8.1,,
16550,Don't Look Under the Bed,1999,7+,6.9,,100
16551,I'll Be Home for Christmas,1998,all,5.5,23%,86
16552,Invisible Sister,2015,all,6.1,,80
16553,Confessions of a Teenage Drama Queen,2004,7+,4.6,14%,89
16554,The Shaggy D.A.,1976,all,5.9,50%,91
16555,Minutemen,2008,all,5.8,,98
16556,Shipwrecked,1990,7+,6.7,,92
16557,Into the Okavango,2018,7+,7.7,,88
16558,Winnie the Pooh: Springtime with Roo,2004,all,6.5,,65
16559,12 Dates of Christmas,2011,7+,6.3,,90
16560,Cow Belles,2006,all,5.2,,90
16561,The Brave Little Toaster to the Rescue,1997,all,6.3,40%,74
16562,Blank Check,1994,7+,5.3,9%,93
16563,Cinderella II: Dreams Come True,2002,all,5,11%,73
16564,The Thirteenth Year,1999,all,6,,95
16565,Phineas and Ferb: Star Wars,2014,all,8.2,,51
16566,Belle's Magical World,1998,all,5.4,17%,92
16567,Davy Crockett and the River Pirates,1956,all,6.8,,81
16568,The Suite Life Movie,2011,all,5.3,,79
16569,Lamp Life,2020,,6.7,,7
16570,Tarzan & Jane,2002,all,5.4,17%,75
16571,Bad Hair Day,2015,all,6,,87
16572,Operation Dumbo Drop,1995,7+,5.1,31%,107
16573,The Story of Robin Hood and His Merrie Men,1952,7+,6.7,,84
16574,Read It and Weep,2006,all,5.5,,84
16575,The Living Desert,1953,all,7.5,,69
16576,Herbie Goes Bananas,1980,all,5,40%,100
16577,Mr. Boogedy,1986,all,7.3,,21
16578,Double Teamed,2002,all,6.1,,120
16579,The Brave Little Toaster Goes to Mars,1998,all,5.7,40%,73
16580,First Kid,1996,7+,5.2,23%,101
16581,The Adventures of Bullwhip Griffin,1967,,6.5,43%,108
16582,The Proud Family Movie,2005,all,5.4,,90
16583,Phineas and Ferb: Mission Marvel,2013,all,8.3,,45
16584,Go Figure,2005,all,5.7,,88
16585,Stuck in the Suburbs,2004,all,5.6,,76
16586,Ice Age: The Great Egg-Scapade,2016,7+,5.9,,25
16587,College Road Trip,2008,all,4.3,12%,83
16588,Girl vs. Monster,2012,7+,5.5,,89
16589,Going to the Mat,2004,all,6.8,,120
16590,Right on Track,2003,all,6.2,,89
16591,Life with Mikey,1993,7+,5.6,25%,91
16592,Wendy Wu: Homecoming Warrior,2006,all,5.4,,91
16593,"Marvel: 75 Years, From Pulp to Pop!",2014,7+,7.3,,42
16594,The Small One,1978,all,7.8,,26
16595,Phantom of the Megaplex,2000,all,6.5,,89
16596,The Apple Dumpling Gang Rides Again,1979,all,6.2,,88
16597,Mom's Got a Date with a Vampire,2000,7+,5.9,,85
16598,Atlantis: Milo's Return,2003,all,5.1,,70
16599,Snowball Express,1972,all,6.5,,93
16600,Sacred Planet,2004,all,6.1,58%,40
16601,The Hunchback of Notre Dame II,2002,all,4.7,30%,68
16602,Rip Girls,2000,all,6.2,,87
16603,MARS: Inside SpaceX,2018,7+,7.4,,46
16604,Zenon: The Zequel,2001,all,5.9,,100
16605,Wings of Life,2011,all,7.4,,81
16606,Get a Clue,2002,all,5.1,,83
16607,Hatching Pete,2009,all,5.4,,90
16608,Apollo: Missions to the Moon,2019,,7.7,,94
16609,Pixel Perfect,2004,all,5.7,,85
16610,The Vanishing Prairie,1954,all,7.5,,71
16611,Alley Cats Strike,2000,all,6.1,,103
16612,Life-Size 2,2018,16+,4.8,40%,81
16613,Johnny Kapahala - Back on Board,2007,,5.5,,90
16614,Jumping Ship,2001,all,6.2,,93
16615,The Million Dollar Duck,1971,all,5.9,17%,89
16616,Frenemies,2012,all,5,,87
16617,Eddie's Million Dollar Cook Off,2003,all,6,,110
16618,Babes in the Woods,1932,,6.8,,8
16619,America's Heart and Soul,2004,7+,5.1,50%,84
16620,The Mistle-Tones,2012,7+,6.7,,90
16621,A Ring of Endless Light,2002,all,6.1,,88
16622,The Other Me,2000,all,6.1,,101
16623,"Up, Up, and Away",2000,all,5.6,,80
16624,Dolphin Reef,2018,all,6.8,,77
16625,Gus,1976,all,5.9,,96
16626,Almost Angels,1962,,6.7,,93
16627,Gotta Kick It Up!,2002,all,5.8,,78
16628,The African Lion,1955,all,7.2,,75
16629,Horse Sense,1999,all,6.2,,92
16630,Snowglobe,2007,7+,6,,86
16631,Once Upon A Mattress,2005,7+,6.3,,90
16632,Jonas Brothers: The Concert Experience,2009,all,1.6,24%,76
16633,You Wish!,2003,all,6.1,,84
16634,The Country Bears,2002,all,4.1,29%,88
16635,A Celebration of the Music from Coco,2020,,7.4,,
16636,In the Footsteps of Elephant,2020,,7.8,,85
16637,Out of Scale,1951,,7.5,,7
16638,Inspector Gadget 2,2003,all,3.4,40%,89
16639,Zenon: Z3,2004,all,5.5,,81
16640,Den Brother,2010,,5.4,,89
16641,Miracle In Lane 2,2000,all,6,,120
16642,Three Days,2001,all,7.2,,133
16643,Atlantis Rising,2017,,6.6,,93
16644,Doug's 1st Movie,1999,all,5,26%,77
16645,The Strongest Man in the World,1975,all,6.1,,92
16646,Titanic: 20 Years Later with James Cameron,2017,7+,7.2,,46
16647,Quints,2000,all,5.7,,83
16648,Breaking2,2017,7+,7.4,,55
16649,Life Is Ruff,2005,7+,4.9,,84
16650,Jungle Cat,1959,7+,7.5,,69
16651,Under the Sea: A Descendants Story,2018,,6,,10
16652,Santa Paws 2: The Santa Pups,2012,all,4.9,,88
16653,Dadnapped,2009,all,4.9,,84
16654,Bride of Boogedy,1987,all,7.5,,93
16655,Into the Grand Canyon,2019,,7.5,,84
16656,The Ultimate Christmas Present,2000,all,5.9,,85
16657,Diving with Dolphins,2020,,7.5,,79
16658,A Kid in King Arthur's Court,1995,7+,4.7,5%,89
16659,Marvel Rising: Chasing Ghosts,2019,,4.6,,22
16660,Super Buddies,2013,all,4.2,,81
16661,The Sandlot: Heading Home,2007,7+,5,,96
16662,Marvel Rising: Heart of Iron,2019,,4,,44
16663,The Secret of the Magic Gourd,2007,all,5.1,,84
16664,Recess: All Growed Down,2003,all,6.7,,61
16665,The Scream Team,2002,7+,6.7,,100
16666,Perri,1957,all,6.7,,75
16667,Penguins: Life on the Edge,2020,,6.9,,78
16668,High School Musical: The Musical: The Series: The Special,2019,,7.5,,23
16669,Buffalo Dreams,2005,all,5.8,,89
16670,Full-Court Miracle,2003,all,5.8,,90
16671,Twas the Night,2001,all,5.4,,84
16672,George of the Jungle 2,2003,7+,3.3,17%,87
16673,The Plausible Impossible,1956,,7.7,,50
16674,Miracle at Midnight,1998,,7.1,,90
16675,Iron Man & Hulk: Heroes United,2013,7+,4.7,,71
16676,Stepsister from Planet Weird,2000,all,5.9,,85
16677,Expedition Mars,2016,,8,,88
16678,That Darn Cat,1997,7+,4.7,13%,116
16679,Those Calloways,1965,7+,6.7,,131
16680,The Sign of Zorro,1958,,7.1,,91
16681,Decorating Disney: Holiday Magic,2017,7+,6.9,,42
16682,Treasure of Matecumbe,1976,all,6.2,,117
16683,The Christmas Star,1986,all,6.4,,94
16684,Stonehenge: Decoded,2008,,6.5,,92
16685,Marvel Rising: Operation Shuri,2019,7+,5.2,,21
16686,Emil and the Detectives,1964,7+,6.2,,99
